Survival_Time,Censoring,Time_Trawl,Time_Difference_Tow,Fork_Length,Handling_Time,Log_Total_Catch
209,1,30,13,41,8,6.992
209,1,30,13,44,8,6.992
209,1,30,13,47,10,6.992
209,1,30,13,34,10,6.992
38,1,30,13,40,11,6.992
209,1,30,13,42,11,6.992
140.9,1,30,13,41,12,6.992
140.9,1,30,13,30,12,6.992
140.1,1,30,1,45,4,4.299
208,1,30,1,47,5,4.299
140.1,1,30,1,44,5,4.299
39.3,1,30,1,37,5,4.299
45.3,1,30,1,44,6,4.299
50.3,1,30,1,44,6,4.299
139.1,1,30,6,46,8,2.904
279,1,30,6,49,8,2.904
92,1,30,6,39,9,2.904
207,1,30,6,46,9,2.904
207,1,30,6,43,9,2.904
139.8,1,30,6,44,10,2.904
139.8,1,30,6,50,10,2.904
66.5,1,30,2,31,3,2.908
397,1,30,2,52,3,2.908
32.3,1,30,2,47,3,2.908
44.3,1,30,2,40,4,2.908
1200,0,30,2,48,5,2.908
85,1,30,2,48,5,2.908
28.2,1,30,2,48,7,2.908
228,1,30,2,51,1,3.597
136.3,1,30,2,29,1,3.597
44.9,1,30,3,47,12,3.356
42.1,1,30,3,50,14,3.356
55.7,1,30,3,41,14,3.356
42.1,1,30,3,40,14,3.356
40.1,1,30,3,45,15,3.356
44.8,1,30,3,40,15,3.356
19.9,1,30,3,48,16,3.356
21.1,1,30,3,36,17,3.356
65.7,1,30,4,43,4,3.468
44.1,1,30,4,42,4,3.468
19.4,1,30,4,32,5,3.468
44.1,1,30,4,36,5,3.468
50.3,1,30,4,32,6,3.468
16.4,1,30,4,34,6,3.468
157.4,1,30,5,46,3,3.062
29.5,1,30,5,32,2,3.049
63.8,1,30,5,33,3,3.049
37.5,1,30,5,47,3,3.049
48.5,1,30,5,42,4,3.049
132.5,1,30,5,44,4,3.049
23.5,1,30,5,37,4,3.049
27.5,1,30,5,32,5,3.049
72,1,30,2,38,6,6.311
1200,0,30,2,45,11,6.311
216,1,30,2,57,12,6.311
20.6,1,30,5,44,2,4.126
30.6,1,30,5,50,2,4.126
10.6,1,30,5,43,3,4.126
22.1,1,30,5,49,3,4.126
123.6,1,30,5,43,3,4.126
22.1,1,30,5,41,4,4.126
264,1,30,5,43,4,4.126
30.6,1,30,5,41,5,4.126
14.6,1,30,5,45,5,4.126
11.2,1,30,5,37,5,4.126
28.6,1,30,5,42,6,4.126
30.6,1,30,5,44,6,4.126
17.5,1,30,5,41,7,4.126
22,1,30,5,44,7,4.126
20.5,1,30,5,42,8,4.126
30.5,1,30,5,40,8,4.126
17,1,30,5,31,9,4.126
22,1,30,5,33,9,4.126
28.6,1,30,5,48,3,3.786
20.1,1,30,5,46,3,3.786
20.1,1,30,5,33,4,3.786
18.6,1,30,5,32,4,3.786
17.6,1,30,5,32,5,3.786
18.6,1,30,5,46,5,3.786
18.5,1,30,5,44,6,3.786
26.5,1,30,5,46,6,3.786
16.5,1,30,5,41,7,3.786
18.5,1,30,5,34,8,3.786
28.5,1,30,5,40,8,3.786
18.5,1,30,5,32,9,3.786
20,1,30,5,43,9,3.786
18.5,1,30,5,41,9,3.786
18.5,1,30,5,38,9,3.786
356,1,30,6,40,14,8.029
1200,0,30,6,46,15,8.029
188,1,30,6,41,15,8.029
120.2,1,30,6,41,22,8.029
188,1,30,6,34,25,8.029
5.3,1,30,6,43,27,8.029
260,1,30,6,40,28,8.029
185,1,30,15,36,4,5.685
185,1,30,15,46,4,5.685
713,1,30,15,42,4,5.685
1200,0,30,15,47,5,5.685
353,1,30,15,39,5,5.685
377,1,30,15,38,5,5.685
185,1,30,15,37,6,5.685
185,1,30,15,41,6,5.685
353,1,30,15,40,6,5.685
117,1,30,15,38,7,5.685
905,1,30,15,35,7,5.685
117,1,30,15,36,7,5.685
29.5,1,100,5,46,26,8.69
11,1,100,5,44,29,8.69
1.5,1,100,5,44,35,8.69
29.5,1,100,5,49,38,8.69
15,1,100,10,42,4,5.323
64,0,100,10,53,4,5.323
156,1,100,10,42,4,5.323
64,0,100,10,57,4,5.323
500,1,100,10,44,4,5.323
131,1,100,10,44,4,5.323
59,0,100,10,48,4,5.323
64,0,100,10,40,4,5.323
17.3,1,100,10,47,4,5.323
16,1,100,10,48,4,5.323
21,1,100,10,46,4,5.323
16.2,1,100,10,48,4,5.323
16.2,1,100,10,43,4,5.323
162.1,1,100,10,41,4,5.323
21,1,100,10,43,4,5.323
64,0,100,10,50,4,5.323
64,0,100,10,53,9,5.323
240,1,100,10,50,9,5.323
404,1,100,10,46,9,5.323
126,1,100,10,46,9,5.323
15,1,100,10,36,9,5.323
125,1,100,10,44,9,5.323
16,1,100,10,42,9,5.323
122,1,100,10,44,9,5.323
126,1,100,10,45,9,5.323
122,1,100,10,43,9,5.323
21,1,100,10,40,9,5.323
1196,1,100,10,44,14,5.323
1097,1,100,6,48,6,4.059
61.5,0,100,6,57,6,4.059
23.5,1,100,6,44,8,4.059
61.5,1,100,6,41,9,4.059
19.5,1,100,6,44,9,4.059
61.5,0,100,6,53,12,4.059
183,1,100,6,42,14,4.059
108.5,1,100,6,45,14,4.059
61.5,0,100,6,45,15,4.059
4,1,100,6,42,16,4.059
21.4,1,100,6,49,17,4.059
20.4,1,100,6,46,17,4.059
185.2,1,100,6,49,18,4.059
23.4,1,100,6,39,18,4.059
13.3,1,100,6,43,19,4.059
13.1,1,100,6,33,19,4.059
17.3,1,100,6,36,19,4.059
15.4,1,100,6,47,20,4.059
13,1,100,6,36,20,4.059
8.5,0,100,6,40,20,4.059
19.3,1,100,6,36,21,4.059
16.4,1,100,6,44,21,4.059
13.2,1,100,6,39,22,4.059
8.7,0,100,6,40,22,4.059
13.2,1,100,6,46,22,4.059
13.3,1,100,6,40,22,4.059
17.2,1,100,6,44,23,4.059
108.2,1,100,6,35,24,4.059
15.2,1,100,6,43,25,4.059
23.2,1,100,6,32,26,4.059
4.2,1,100,6,34,27,4.059
20.2,1,100,6,47,26,4.059
81,1,100,2,50,5,3.979
59,0,100,2,54,5,3.979
2,1,100,2,43,11,3.979
120.1,1,100,2,51,12,3.979
11.1,1,100,2,47,12,3.979
39.9,1,100,8,54,7,4.875
99.9,1,100,8,42,7,4.875
35.9,1,100,8,47,7,4.875
77.9,1,100,8,32,7,4.875
36.9,1,100,8,44,7,4.875
99.9,1,100,8,34,7,4.875
163.7,1,100,8,36,7,4.875
39.9,1,100,8,50,7,4.875
39.9,1,100,8,48,7,4.875
176.1,1,100,8,45,7,4.875
141.1,1,100,8,45,7,4.875
72.9,1,100,8,35,7,4.875
33.9,1,100,8,48,11,4.875
39.8,1,100,8,44,11,4.875
29.8,1,100,8,39,11,4.875
37.8,1,100,8,46,12,4.875
40,1,100,8,51,12,4.875
30,1,100,8,45,12,4.875
29.5,1,100,8,42,13,4.875
29.8,1,100,8,43,14,4.875
29.8,1,100,8,45,14,4.875
36.8,1,100,8,46,14,4.875
39.8,1,100,8,33,14,4.875
30,1,100,8,45,14,4.875
31.1,1,100,8,38,14,4.875
33.8,1,100,8,44,16,4.875
33.8,1,100,8,47,17,4.875
31.8,1,100,8,45,17,4.875
32.9,1,100,8,33,17,4.875
30,1,100,8,40,17,4.875
29.8,1,100,8,43,17,4.875
29.8,1,100,8,46,17,4.875
35.8,1,100,8,48,17,4.875
36.8,1,100,8,47,17,4.875
29.8,1,100,8,35,17,4.875
60.8,0,100,8,53,17,4.875
32,1,100,8,41,17,4.875
29.8,1,100,8,45,17,4.875
36.7,1,100,8,45,22,4.875
29.8,1,100,8,46,22,4.875
96,1,100,23,42,3,7.029
3,1,100,23,45,8,7.029
9.3,1,100,23,52,8,7.029
51.3,0,100,23,50,8,7.029
5.3,1,100,23,47,13,7.029
3.2,1,100,23,45,13,7.029
3.3,1,100,23,46,13,7.029
3.2,1,100,23,38,13,7.029
3.1,1,100,23,33,18,7.029
3.1,1,100,23,34,18,7.029
3.1,1,100,23,45,18,7.029
51,0,100,23,54,18,7.029
3,1,100,23,49,23,7.029
5.2,1,100,23,39,23,7.029
3,1,100,23,43,23,7.029
3,1,100,23,46,23,7.029
3.2,1,100,23,43,23,7.029
13,1,100,23,39,23,7.029
4.2,1,100,23,45,28,7.029
5,1,100,23,33,28,7.029
33.9,1,100,23,42,28,7.029
7.9,1,100,23,43,28,7.029
2.5,1,100,23,41,28,7.029
8,1,100,23,52,28,7.029
2.7,1,100,23,37,28,7.029
2.9,1,100,23,42,28,7.029
4,1,100,23,36,33,7.029
7.8,1,100,23,35,33,7.029
2.6,1,100,23,33,33,7.029
2.8,1,100,23,37,36,7.029
2.6,1,100,23,43,36,7.029
2.8,1,100,23,36,36,7.029
10.5,1,100,10,42,4,4.203
23.5,1,100,10,53,4,4.203
11.8,1,100,10,48,4,4.203
23.5,1,100,10,50,4,4.203
10.5,1,100,10,49,6,4.203
39.4,1,100,10,53,6,4.203
1.5,1,100,10,38,7,4.203
11.8,1,100,10,51,8,4.203
11.8,1,100,10,49,8,4.203
1.5,1,100,10,37,9,4.203
1.5,1,100,10,49,9,4.203
10.4,1,100,10,49,10,4.203
1.7,1,100,10,45,10,4.203
10.4,1,100,10,46,11,4.203
82.3,1,100,10,41,12,4.203
10.4,1,100,10,46,12,4.203
1.5,1,100,10,48,12,4.203
10.4,1,100,10,48,13,4.203
11.7,1,100,10,55,13,4.203
1.4,1,100,10,37,14,4.203
159,1,100,10,34,15,4.203
1.4,1,100,10,34,15,4.203
11.6,1,100,10,53,16,4.203
23.2,1,100,10,44,16,4.203
3.2,1,100,10,37,16,4.203
1.5,1,100,10,34,16,4.203
102.2,1,100,10,36,17,4.203
82.2,1,100,10,31,18,4.203
1.4,1,100,10,34,18,4.203
3.2,1,100,10,30,19,4.203
1.3,1,100,10,42,19,4.203
1.3,1,100,10,33,20,4.203
1.2,1,100,10,34,20,4.203
23.2,1,100,10,37,20,4.203
1.3,1,100,10,38,21,4.203
3.2,1,100,10,32,21,4.203
1.1,1,100,10,30,21,4.203
23.1,1,100,10,29,22,4.203
1.3,1,100,10,32,22,4.203
108.1,1,100,10,30,22,4.203
1.9,1,100,49,51,14,7.164
1.6,1,100,49,51,30,7.164
9.4,0,100,49,42,33,7.164
51.4,0,100,58,57,21,5.805
52,1,100,58,52,25,5.805
51.4,1,100,58,53,30,5.805